service_name,escalation_policies,teams,integrations,last_incident_timestamp
IOPS-B2B-Core Service,IOPS-B2B-Core Escalation Policy,IOPS-B2B-Core Team,"[""Email""]",2019-06-20T19:42:01-07:00
IOPSBTB Escalation,IOPSBTB - Escalation Policy,IOPSBTB,"[""Email"", ""pycheck_platform"", ""Prometheus-mf""]",2019-10-26T19:53:21-07:00
IOPSBTB_PDINCIDENT-CATCHALL,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident""]",2019-07-16T02:38:58-07:00
IOPSCPT - Low Priority,IOPSCPT - Escalation Policy,IOPSCPT,"[""pdincident"", ""Email"", ""iopscptLowSumo""]",2019-07-22T04:07:11-07:00
IORE - LNRSL (E-Mail),IORE - LNRSL,International Operations and Reliability Engineering - LNRSL,"[""Email""]",2019-08-20T14:54:42-07:00
IORE - SPORTS (E-Mail),IORE - SPORTS,International Operations and Reliability Engineering - SPORTS,"[""Email"", ""ProStatuscake""]",2019-10-28T15:36:05-07:00
IORE-SCR,IORE - LNRSL,International Operations and Reliability Engineering - LNRSL,"[""Generic API"", ""Prometheus""]",2019-10-24T06:01:56-07:00
IPDAS - Production,IPDAS Escalation Policy (Production),IPDAS,"[""Prometheus"", ""Email"", ""Cloudwatch Alerts""]",2019-10-23T07:21:58-07:00
IPDAS - Testing,IPDAS Escalation Policy (Non Production),IPDAS,"[""API"", ""E-Mail"", ""SNS""]",2019-01-17T04:35:51-08:00
IPDAS Non Production Service,IPDAS Escalation Policy (Non Production),IPDAS,"[""Prometheus"", ""Cloudwatch Alerts""]",2018-06-25T05:16:10-07:00
IPS_ADYEN_LOW,IPS - low escalation policy,IPS,"[""Email""]",2019-10-20T19:47:20-07:00
IPS_PAYMENT_PROCESSOR_V4,IPS escalation policy,IPS,"[""Prometheus"", ""Events API v2""]",2019-10-30T13:54:34-07:00
IPS_PAYMENT_PROCESSOR_V4_LOW,IPS - low escalation policy,IPS,"[""Prometheus"", ""Events API v2""]",2019-10-30T11:36:06-07:00
IPS_PAYMENT_PROCESSOR_V4_RDS_DATABASE,IPS - low escalation policy,IPS,"[""Custom Event Transformer""]",
IPS_SPLUNK,IPS escalation policy,IPS,"[""Email""]",2019-06-21T01:34:26-07:00
ips-oncall,CTS Supply Oncall Escalation,CTS Supply,"[""Email""]",2019-07-10T02:41:31-07:00
IPSWEB,IPS escalation policy,IPS,"[""pycheck_mart""]",2018-10-10T00:22:47-07:00
ipsweb-mfx.services.payment-notify,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-03-14T10:34:50-07:00
ipsweb-mfx.services.payment-notify-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",
ipsweb-mfx.services.payment-notify.pxy,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",
ipsweb-mfx.services.payment-notify.pxy-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-02-02T08:38:57-08:00
IradminOncall,IRADMINONCALL,IRADMINONCALL,"[""Email""]",2019-10-30T04:30:10-07:00
iSCSI services,Platform Automation Escalation,Platform Automation ,"[""Platform Automation E-mail ""]",2019-10-23T13:36:10-07:00
ISD Manual,ISD Monitoring,INTL Service Delivery,"[""Email""]",2019-06-10T23:41:46-07:00
ISD_mon,ISD Monitoring,INTL Service Delivery,"[""Email"", ""Statuscaketest""]",2019-10-28T03:09:57-07:00
ISM Creation Tool,TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2018-03-23T07:40:19-07:00
ISM Critical,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Amazon Cloudwatch""]",2018-10-16T04:03:42-07:00
ISM Noncritical,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Amazon Cloudwatch""]",2019-10-30T14:15:12-07:00
ISMDS,ISMDS Escalation Policy,ISMDS,"[""Email"", ""Rigor"", ""Prometheus""]",2019-10-30T13:59:40-07:00
ISMDS PAPERTRAIL,ISMDS Escalation Policy,ISMDS,"[""Papertrail""]",2018-01-26T23:33:28-08:00
ISMDS TOC Escalation Service,ISMDS Escalation Policy,ISMDS,"[""Email""]",2019-09-16T19:05:59-07:00
IVR Email Alert,IVR Escalation Policy,Contact Center - Technology,"[""Email""]",2019-09-11T11:21:24-07:00
IVR Solarwinds Alert,IVR Escalation Policy,Contact Center - Technology,"[""SolarWinds""]",2016-08-03T00:18:56-07:00
JamesWicksService,JamesWicksEscalationPolicy,Cyber Security Incident Response Team - CSIRT,"[""Email""]",2018-08-07T08:41:43-07:00
JAVS Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP JAVS""]",2019-08-29T03:02:42-07:00
Jenkins Synthetic Monitoring,TAP Escalation Policy,TAP,"[""Email""]",2016-09-09T19:57:36-07:00
Jenkins Synthetic Monitoring User,TAP Escalation Policy,TAP,"[""Email""]",2016-08-31T17:46:04-07:00
JetPac TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2016-07-28T13:52:36-07:00
Jetson Search Batch Index Service,CCS Team Escalation Policy,CCS Team,"[""Email""]",
Jetson Search Service,CCS Team Escalation Policy,CCS Team,"[""Email""]",2017-11-06T06:26:06-08:00
Jetson Search TOC Escalation Service,CCS Team Escalation Policy,CCS Team,"[""Email""]",2018-06-14T06:42:45-07:00
Jetson Solr Service,CCS Team Escalation Policy,CCS Team,"[""Email""]",
JLO Escalation,CCS Team Escalation Policy,CCS Team,"[""API""]",
JNS Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP""]",
JTE,Checkout - Orders,Checkout - Orders,"[""Email"", ""JTE AWS""]",2018-12-15T16:09:41-08:00
Kafka,Data Science Escalation,Data Science Operations Team,"[""Kafka-Nagios"", ""Email""]",2019-10-30T06:26:37-07:00
Kas3 - Service,Contaq - Xsition,Content and Discovery,"[""Amazon CloudWatch""]",
Kas3 - Service - Low,Contaq - Xsition,Content and Discovery,"[""Amazon CloudWatch""]",
KIOSK TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""Kiosk AWS Cloutwatch""]",2017-04-17T15:12:12-07:00
Kubernauts - Kubernetes,Kubernauts,Kubernauts,"[""clusterops-oncall""]",2019-08-01T18:13:48-07:00
Kubernauts - Kubernetes (AWS),Kubernauts,Kubernauts,"[""Prometheus"", ""kubernauts-aws-cloudwatch""]",2018-12-04T17:48:34-08:00
Kubernauts - Kubernetes (On-Premise),Kubernauts,Kubernauts,"[""Prometheus""]",2018-10-04T02:16:23-07:00
Kubernauts - Kubernetes P1,Kubernauts - P1,Kubernauts,"[""Kubernauts Email - P1"", ""Kubernauts Prometheus - P1"", ""Kubernauts Cloudwatch - P1""]",2019-10-30T09:20:53-07:00
Kubernauts - Kubernetes P2,Kubernauts - P2,Kubernauts,"[""Kubernauts Email - P2"", ""Kubernauts Cloudwatch - P2"", ""Kubernauts Prometheus - P2""]",2019-10-30T14:55:34-07:00
LA2017_API,IORE - SPORTS,International Operations and Reliability Engineering - SPORTS,"[""Generic API""]",2016-07-25T09:54:38-07:00
Legacy Identity Admin Toc Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",
LightSearch,MAS Escalation Policy,MAS,"[""Sumo Logic"", ""Cloudwatch""]",2019-10-05T00:21:55-07:00
LightSearch-Rigor,MAS Escalation Policy,MAS,"[""Rigor""]",2017-03-21T11:29:19-07:00
Linux Operations (Microflex) Escalation Service,IOPS CATCHALL FOLLOWING RE-ORG,MO,"[""Email""]",2019-10-21T15:32:14-07:00
LN Network Engineering OnCall,LN Network Engineering Escalation Policy,LN Network Engineering,"[""Email"", ""Solarwinds Alerting""]",2019-10-30T09:15:44-07:00
LN Voice Services OnCall,LN Voice Services Escalation Policy,LN Voice Services,"[""Email""]",2017-09-01T08:27:37-07:00
LN Wireless Network Engineering OnCall,LN Wireless Network Engineering Escalation Policy,LN Wireless Network Engineering,"[""Email""]",
LNDT Acceptance Tests,LNDT Acceptance Tests,LNDT,"[""Email""]",
LNDT General Email Alert,LNDT Escalation Policy,LNDT,"[""LNDT General Email Alert"", ""LNDT StatusCake""]",2019-10-24T04:10:30-07:00
LNDT Prometheus,LNDT Prometheus,LNDT,"[""LNDT Prometheus""]",2019-10-09T15:26:26-07:00
Log Mover,TAP Escalation Policy,TAP,"[""Email""]",2018-03-16T11:34:33-07:00
Login Splunk Alerts,Accounts API Escalation Policy,Accounts API,"[""Email""]",2019-10-25T13:00:32-07:00
Login Zabbix Alerts,Accounts API Escalation Policy,Accounts API,"[""Email""]",2019-01-08T16:17:53-08:00
LON1 Datacenter P1,LON1 DCOPS Escalation policy,LON1 l DCOps Team,"[""Email""]",2017-05-17T07:29:26-07:00
Low priority Scaling Sandbox,Scaling Sandbox Escalation,Scaling Sandbox,"[""Email"", ""aws-fluent""]",2018-05-10T16:47:37-07:00
Major Incident Declaration,Critical Incident Management Escalation,Critical Incident Management,"[""Email"", ""Live Call Routing"", ""CI Slack"", ""Prometheus Inter AWS DNS""]",2019-10-30T09:22:57-07:00
MAPS-KAFKA,MAPS ESCALATION POLICY 1,MAPS,"[""Prometheus""]",2019-10-21T06:51:14-07:00
MAPS-NIMBUS-ALERTS,MAPS ESCALATION POLICY 1,MAPS,"[""Email""]",2017-02-13T19:47:43-08:00
MAPS-ONCALL,MAPS ESCALATION POLICY 1,MAPS,"[""Email""]",2019-10-25T12:17:45-07:00
MAPS-RIGOR-ALERTS,MAPS ESCALATION POLICY 1,MAPS,"[""Rigor""]",2019-10-24T07:02:56-07:00
MAPS-SPLUNK-ALERTS,MAPS ESCALATION POLICY 1,MAPS,"[""Email""]",2019-10-30T08:03:07-07:00
MAPS-ZABBIX-ALERTS,MAPS ESCALATION POLICY 1,MAPS,"[""Email""]",2018-02-12T03:20:38-08:00
Marketplace Operations Manual Paging,Marketplace Operations Escalation Policy,Marketplace Operations,"[""Email"", ""Slack Integration""]",2019-07-25T10:34:28-07:00
Marketplace Support Email,Marketplace Support Escalation,Marketplace Support,"[""Marketplace Support""]",2018-12-19T07:43:43-08:00
MAS Alerting via Email Alerting,MAS Escalation Policy,MAS,"[""Email""]",2019-09-03T13:36:55-07:00
MAS Cloudwatch,MAS Escalation Policy,MAS,[],2015-11-20T17:58:14-08:00
MAS SumoLogic Alarms,MAS Escalation Policy,MAS,"[""Sumo Logic""]",2016-04-28T06:58:26-07:00
Matlock Splunk Alerts,TAP Escalation Policy,TAP,"[""Email""]",2016-02-10T21:24:40-08:00
Matlock Zabbix Alerts,TAP Escalation Policy,TAP,"[""Email""]",2019-01-08T15:26:49-08:00
MBOS,MBOS Escalation Policy,MAS,"[""Email""]",2016-02-25T11:01:55-08:00
MBOS Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",
MD Suggest,MAS Escalation Policy,MAS,"[""Email"", ""mdsuggest-rigor"", ""splunk-alerts""]",2019-08-29T13:17:00-07:00
MDZones,MAS Escalation Policy,MAS,[],2017-05-01T07:54:44-07:00
MFOL,IOPSCPT - Escalation Policy,IOPSCPT,"[""pdincident"", ""Splunk"", ""Rigor"", ""Prometheus-MFOL-IOPSCPT""]",2019-07-03T05:06:25-07:00
MFOL_HABITAT,IOPSCPT HABITAT,IOPSCPT,"[""Prometheus"", ""Events API v2""]",2019-10-30T10:27:28-07:00
MFOL_HABITAT_NONPROD,IOPSCPT_HABITAT,IOPSCPT,"[""Events API v2""]",2019-10-30T07:09:43-07:00
MFX-AT,Microflex QADEV,,"[""Market Status""]",2019-02-22T02:22:02-08:00
MFX-CI43,Microflex QADEV,,"[""Market Status""]",2018-12-12T14:34:03-08:00
MFX-DEV43,Microflex QADEV,,"[""Market Status""]",2019-03-19T13:30:08-07:00
MFX-GLOBAL-PROMOTIONS-PROD,PYVO-PROD,PYVO,"[""Email""]",
MFX-QA43,Microflex QADEV,,"[""Market Status""]",2019-03-19T11:00:06-07:00
MFX-TPI,Microflex QADEV,,"[""Market Status""]",2019-03-28T23:14:03-07:00
Microflex Management Tools,Microflex Management Tools,Microflex Management Tools,"[""Email""]",2019-09-04T00:47:18-07:00
Microflex Stage,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""MO_NIMBUS_STAGE_ALERTS""]",2019-10-18T07:50:31-07:00
mnx-activemq,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-08-09T15:23:29-07:00
mnx-activemq-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-08-23T05:29:04-07:00
mnx-binoseerow,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-07-17T14:55:39-07:00
mnx-binoseerow-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-05-17T10:12:51-07:00
MNX-CI43,Microflex QADEV,,"[""Market Status""]",
mnx-common,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",
mnx-common-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",
mnx-couchbase,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email integration""]",
mnx-couchbase-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""mnx-couchbase-low""]",2019-08-28T21:29:32-07:00
mnx-funneld,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-29T06:47:27-07:00
mnx-funneld-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:21-07:00
mnx-healthcheck,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",
mnx-healthcheck-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:30-07:00
mnx-lrh,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-29T06:47:25-07:00
mnx-lrh-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:20-07:00
mnx-MapChangeChecker,IIS-Prod-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-07-17T14:55:37-07:00
mnx-MapChangeChecker-low,IIS-Low-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:26-07:00
mnx-masterdb,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-07-04T13:05:50-07:00
mnx-masterdb-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-08-06T09:55:08-07:00
mnx-mfx.mocks.gps,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2018-10-26T09:03:44-07:00
mnx-mfx.mocks.gps-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",
mnx-mfx.services,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-10-29T02:39:33-07:00
mnx-mfx.services-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:30-07:00
mnx-mfx.services.access.control,PYVO-PROD-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-10-25T10:02:36-07:00
mnx-mfx.services.access.control-low,PYVO-LOW-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:32-07:00
mnx-mfx.services.availability,IIS-Prod-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-10-21T20:19:19-07:00
mnx-mfx.services.availability-low,IIS-Low-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-01-31T10:24:28-08:00
mnx-mfx.services.ecviewer,PYVO-PROD-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-10-23T09:21:35-07:00
mnx-mfx.services.ecviewer-low,PYVO-LOW-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:20-07:00
mnx-mfx.services.feed,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-10-15T06:55:28-07:00
mnx-mfx.services.feed-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-06-04T08:02:34-07:00
mnx-mfx.services.feed.queue.consumer,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-04-28T19:27:45-07:00
mnx-mfx.services.feed.queue.consumer-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-06-04T08:02:37-07:00
mnx-mfx.services.feed.queue.message,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-04-27T21:37:48-07:00
mnx-mfx.services.feed.queue.message-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-05-17T11:37:58-07:00
mnx-mfx.services.fsfeed,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-08-05T08:20:51-07:00
mnx-mfx.services.fsfeed-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:25-07:00
mnx-mfx.services.fsfeed.queue.consumer,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-04-28T19:16:49-07:00
mnx-mfx.services.fsfeed.queue.consumer-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:44-07:00
mnx-mfx.services.fsfeed.queue.message,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-04-28T19:27:43-07:00
mnx-mfx.services.fsfeed.queue.message-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:36-07:00
mnx-mfx.services.golgoth,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-10-23T04:23:39-07:00
mnx-mfx.services.golgoth-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-06-05T06:15:27-07:00
mnx-mfx.services.identity,PYVO-PROD-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-08-05T07:56:05-07:00
mnx-mfx.services.identity-low,PYVO-LOW-MART,PYVO,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:42-07:00
mnx-mfx.services.payment,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-09-12T02:06:18-07:00
mnx-mfx.services.payment-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration"", ""Prometheus"", ""testV2""]",2019-05-03T06:38:45-07:00
mnx-mfx.services.rendering,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-10-29T02:42:16-07:00
mnx-mfx.services.rendering-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:23-07:00
mnx-mfx.services.transaction,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-08-05T07:56:00-07:00
mnx-mfx.services.transaction-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-06-04T07:59:58-07:00
mnx-mfx.services.transactional.api,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-23T04:24:04-07:00
mnx-mfx.services.transactional.api-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:35-07:00
mnx-mfx.services.vega,Intl Fulfillment,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-08-05T07:55:52-07:00
mnx-mfx.services.vega-low,Intl Fulfillment -low Escalation Policy,Intl Fulfillment,"[""pdincident"", ""Email Integration""]",2019-06-04T08:00:07-07:00
mnx-pts,IPS escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-04-30T11:38:13-07:00
mnx-pts-low,IPS - low escalation policy,IPS,"[""pdincident"", ""Email Integration""]",2019-04-30T13:30:16-07:00
mnx-Secure-Proxy-low,TSAPI-STAGE,TSAPI,"[""pdincident""]",2019-10-10T10:33:47-07:00
mnx-shared-db-avail,IIS-Prod-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-04-30T11:38:23-07:00
mnx-shared-db-avail-low,IIS-Low-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-05-01T07:44:47-07:00
mnx-shared-db-smg,IIS-Prod-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-04-30T11:38:25-07:00
mnx-shared-db-smg-low,IIS-Low-EscalationPolicy,IIS,"[""pdincident"", ""Email Integration""]",2019-05-01T07:44:49-07:00
mnx-shared-db-smt,MFX-SMT Escalation Policy,MFX-SMT,"[""pdincident"", ""Email Integration""]",2018-11-21T23:14:12-08:00
mnx-shared-db-smt-low,MFX-SMT Escalation Policy,MFX-SMT,"[""pdincident"", ""Email Integration""]",2019-05-01T07:44:48-07:00
mnx-slavedb,IOPSBTB - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-10-08T18:41:45-07:00
mnx-slavedb-low,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""pdincident"", ""Email Integration""]",2019-10-08T18:38:45-07:00
mnx-stunnel,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-29T06:47:24-07:00
mnx-stunnel-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:27-07:00
mnx-xinetd,TSAPI-PROD,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-29T06:47:29-07:00
mnx-xinetd-low,TSAPI-STAGE,TSAPI,"[""pdincident"", ""Email Integration""]",2019-10-18T07:50:24-07:00
MO_DISK-SPACE-WARN,IOPSBTB - Escalation Policy,IOPSBTB,"[""Email""]",2019-03-21T02:00:06-07:00
MO_FILER,IOPSBTB - Escalation Policy,IOPSBTB,"[""Email""]",2019-02-21T01:00:06-08:00
MO_FLEX,Flex development Escalation policies,Flex Development,"[""pycheck_mart"", ""Email""]",2019-03-09T16:04:29-08:00
MO_GENERIC_LOW,IOPSBTB low priority - Escalation Policy,IOPSBTB,"[""Email"", ""pycheck_mart""]",2019-04-10T08:01:27-07:00
MO_INSURANCE,TSAPI-PROD,TSAPI,"[""pdincident""]",2018-01-24T01:04:51-08:00
MO_IPS,IPS escalation policy,IPS,"[""pycheck_mart"", ""email""]",2019-06-27T06:39:43-07:00
MO_PYCHECK_MART,IOPSBTB - Escalation Policy,IOPSBTB,"[""pycheck_mart""]",2017-10-11T04:56:00-07:00
MO_Rigor,IOPSCPT - Escalation Policy,IOPSCPT,"[""Email"", ""Rigor""]",2017-10-19T08:09:49-07:00
MO_SPLUNK,IOPS CATCHALL FOLLOWING RE-ORG,MO,"[""Email""]",2018-10-18T05:16:00-07:00
MO-DISK-SPACE-ALERT,IOPSBTB - Escalation Policy,IOPSBTB,"[""Email""]",2017-06-09T06:30:36-07:00
Mobile LN App TOC Escalation,B2C LN App Escalation Policy,B2C LN App,"[""Email""]",2016-07-24T17:53:34-07:00
Mobile TM App TOC Escalation,B2CMobile TM App Escalation Policy,B2CMOB,"[""Email""]",2019-03-03T14:40:15-08:00
MobileBoxOfficeApp(MBOA),SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""MBOA Email""]",2017-10-26T13:45:11-07:00
MPE Service,Virtucon Policy,Virtucon,"[""Email"", ""Prometheus Integration"", ""Prometheus Events API"", ""Amazon Cloudwatch"", ""Events API v1"", ""Events API v2"", ""Tax Runtime""]",2019-10-30T08:12:36-07:00
MR-RIGOR-ALERTS,Platinum Escalation Policy,Platinum Tool and RT ISM,"[""Rigor""]",2019-03-18T16:07:23-07:00
NAM Infra-AWS Paging,Infra-NAM-VV,Infra-NAM-VV,"[""Email""]",
NAM NFL-Alert,nam-nfl,,"[""Email""]",2019-04-11T17:02:33-07:00
NAM-Monitoring,NAM Monitoring Escalation Policy,NAM Monitoring,"[""Email""]",
NFL Entry AccountManager,AccountManager Critical Incident,Account Manager,"[""Email"", ""NFL Entry AccountManager""]",2018-08-25T09:43:32-07:00
Nimbus-IOPSCPT,IOPSCPT - Escalation Policy,IOPSCPT,"[""Email""]",2017-10-31T21:04:34-07:00
Non Critical Access Feed Alerts,IAC Escalation-Low,IAC,"[""Prometheus""]",2019-09-16T00:35:13-07:00
Non Critical ERC Alerts,IAC Escalation-Low,IAC,"[""Email"", ""ERC Prometheus""]",2019-03-18T05:16:12-07:00
NONPROD - Seat Search API,Seat Search NONPROD,Seat Search,"[""Amazon Cloudwatch""]",2019-10-08T16:57:08-07:00
NONPROD - Seat Search Metrics ELK,Seat Search NONPROD,Seat Search,[],
NONPROD - Seat Search Services,Seat Search NONPROD,Seat Search,"[""Amazon Cloudwatch""]",2019-10-28T12:53:49-07:00
Not escalated,Not escalated,Presence,[],2018-09-12T21:19:45-07:00
ns test,GitLab escalation,,"[""ns collector""]",2016-10-20T15:08:27-07:00
OAuth2 [tm-nonprod::dev1],Accounts API Escalation Policy,Accounts API,"[""Amazon Cloudwatch""]",2017-01-10T17:34:15-08:00
OAuth2 [tm-prod::preprod1],Accounts API Escalation Policy,Accounts API,"[""Amazon Cloudwatch"", ""Prometheus Alerting""]",2018-02-06T10:58:11-08:00
OAuth2 [tm-prod::prod1],Accounts API Escalation Policy,Accounts API,"[""Amazon Cloudwatch"", ""Email"", ""oauth-cloudwatch-integration"", ""Oauth-Prometheus""]",2019-10-30T13:45:41-07:00
OAuth2 [tm-sandbox::adam1],Universe: Adam Meghji only,,"[""Amazon Cloudwatch""]",2017-03-01T12:37:11-08:00
OAuth2 QAProxy [tm-prod::prod1],Universe: Adam Meghji only,,"[""Amazon Cloudwatch""]",
Objects,ECS - Escalation Policy,Enterprise Content Services,"[""Email""]",2019-10-20T20:35:34-07:00
objects-oncall,CAR - Policy,CORT,"[""Email""]",2016-09-26T06:55:30-07:00
Oliver Sellers Test Service,IOPSCPT HABITAT,IOPSCPT,"[""Generic API""]",2018-02-15T03:42:10-08:00
Oozie CCSF MapReduce,Submachine Gun Escalation for Oozie,,"[""Email""]",
Oozie Fanbuilder MapReduce,Submachine Gun Escalation for Oozie,,"[""Email""]",2019-06-09T19:27:09-07:00
Open Ticketing Low Priority,Open ticketing no escalation,Open Ticketing,"[""OV_Preprod_API"", ""Redis_Cloudwatch"", ""Dynamo_cloudwatch"", ""Elasticsearch_Cloudwatch"", ""open-ticketing-ov-low-priority""]",2019-08-13T17:01:15-07:00
Open Ticketing OV ONCall,Open Ticketing OV OnCall Escalation Policy,Open Ticketing,"[""Open Ticketing OV ONCall Email"", ""OV_API_PD"", ""Redis_CloudWatch"", ""Callback_cloudwatch"", ""Elasticsearch_Cloudwatch""]",2019-10-30T12:38:54-07:00
Order Bridge V2 Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP""]",
Order Bridge v3 - Golden Gate,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",2019-07-02T23:30:47-07:00
Order Processing Fees|CommVam,Commerce On Call Escalation Policy,COMMVAM,"[""Prometheus|Op Fees ""]",
OrderInfo,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email"", ""Runscope""]",2018-02-22T10:40:28-08:00
Orders Rendering Service,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",
page-timspero,Page-timspero,,"[""Email""]",2017-08-05T09:46:53-07:00
PagerDuty API,TMR Fan Experience Escalation,TMR-TNOW,"[""API""]",
PagerDutyAPI-Intl-Resale,INTL-Resale Escalation Policy,INTL-Resale,"[""API""]",2019-10-28T05:05:35-07:00
Papi - High,ECS - Escalation Policy,Enterprise Content Services,"[""Email"", ""Papi-AWS"", ""Runscope""]",2018-11-02T18:09:19-07:00
